Date,Temp1,Humidity,Atmospheric_pressure,Wind_speed,Cloudiness
30/05/2000,25.8,91.0,1008.7,0.0,6.0
30/05/2000,31.2,64.0,1007.5,2.0,6.0
31/05/2000,26.2,88.0,1006.9,0.0,6.0
31/05/2000,27.6,85.0,1009.0,0.0,6.0
31/05/2000,32.4,59.0,1005.8,1.0,4.0
01/06/2000,27.6,74.0,1006.5,0.0,8.0
01/06/2000,26.2,92.0,1006.1,0.0,9.0
01/06/2000,29.8,68.0,1005.3,2.0,9.0
02/06/2000,24.2,94.0,1005.4,0.0,8.0
02/06/2000,24.8,97.0,1008.2,0.0,6.0
02/06/2000,28.2,75.0,1004.7,2.0,9.0
03/06/2000,25.0,89.0,1005.2,0.0,0.0
03/06/2000,27.0,78.0,1007.7,0.0,2.0
03/06/2000,32.0,61.0,1005.3,1.0,4.0
04/06/2000,26.6,84.0,1005.3,0.0,0.0
04/06/2000,26.6,89.0,1007.3,0.0,4.0
04/06/2000,28.2,81.0,1004.8,1.0,6.0
05/06/2000,25.8,95.0,1005.1,0.0,2.0
05/06/2000,26.8,94.0,1006.6,0.0,8.0
05/06/2000,32.0,59.0,1004.1,2.0,6.0
06/06/2000,27.6,81.0,1004.7,0.0,0.0
06/06/2000,26.4,91.0,1009.3,2.0,6.0
06/06/2000,31.2,64.0,1005.4,2.0,6.0
07/06/2000,27.2,84.0,1005.9,0.0,0.0
07/06/2000,26.6,89.0,1007.4,0.0,4.0
07/06/2000,32.1,60.0,1005.2,2.0,4.0
08/06/2000,28.0,77.0,1004.7,0.0,0.0
08/06/2000,26.6,91.0,1009.3,0.0,4.0
08/06/2000,32.2,61.0,1005.3,2.0,4.0
09/06/2000,28.2,76.0,1005.1,0.0,0.0
09/06/2000,27.0,89.0,1007.4,1.0,4.0
09/06/2000,33.0,62.0,1006.0,2.0,6.0
10/06/2000,28.4,77.0,1005.2,0.0,9.0
10/06/2000,27.2,85.0,1007.3,1.0,0.0
10/06/2000,32.4,63.0,1004.7,2.0,6.0
11/06/2000,28.6,73.0,1006.8,2.0,6.0
11/06/2000,27.2,84.0,1007.8,2.0,5.0
11/06/2000,33.0,60.0,1004.8,2.0,5.0
12/06/2000,28.2,77.0,1004.9,0.0,0.0
12/06/2000,25.6,88.0,1007.2,0.0,6.0
